Step,AgentID,voted_for,num_votes,is_winner,num_wins,threshold,exit_probability,type,opinion1
1,102,102.0,0.0,False,0.0,0.95,0.33,candidate,0.10983499517503063
2,0,,,,,,,voter,0.5473422720607841
2,1,,,,,,,voter,0.292320296591856
2,2,,,,,,,voter,0.24196940108190035
2,3,,,,,,,voter,0.2429294028568345
2,4,,,,,,,voter,0.539881252385259
2,5,,,,,,,voter,0.8738815775243158
2,6,,,,,,,voter,0.8984867806503969
2,7,,,,,,,voter,0.6443570782074236
2,8,,,,,,,voter,0.9685457843837484
2,9,,,,,,,voter,0.7078753301817116
2,10,,,,,,,voter,0.12559539860734958
2,11,,,,,,,voter,0.9653384189289855
2,12,,,,,,,voter,0.8064805701977665
2,13,,,,,,,voter,0.47804742956456214
2,14,,,,,,,voter,0.9337431405917832
2,15,,,,,,,voter,0.8151610605017898
2,16,,,,,,,voter,0.16897769011371755
2,17,,,,,,,voter,0.8279573651204574
2,18,,,,,,,voter,0.6531085691840138
2,19,,,,,,,voter,0.615329986251283
2,20,,,,,,,voter,0.1552483420372649
2,21,,,,,,,voter,0.4112799625411737
2,22,,,,,,,voter,0.48758140890920254
2,23,,,,,,,voter,0.7209172273136791
2,24,,,,,,,voter,0.8238879161023359
2,25,,,,,,,voter,0.980373962429508
2,26,,,,,,,voter,0.6192993253250952
2,27,,,,,,,voter,0.02582645249485227
2,28,,,,,,,voter,0.8758116345776423
2,29,,,,,,,voter,0.6032002871217831
2,30,,,,,,,voter,0.07407369376876694
2,31,,,,,,,voter,0.9922780947871629
2,32,,,,,,,voter,0.8461811181720427
2,33,,,,,,,voter,0.629769888759728
2,34,,,,,,,voter,0.2462563075812223
2,35,,,,,,,voter,0.0034776959756934733
2,36,,,,,,,voter,0.7727230961740279
2,37,,,,,,,voter,0.9985074931365088
2,38,,,,,,,voter,0.4502391845614866
2,39,,,,,,,voter,0.3189288674373776
2,40,,,,,,,voter,0.15032990596892437
2,41,,,,,,,voter,0.6623829599945449
2,42,,,,,,,voter,0.5174053856530753
2,43,,,,,,,voter,0.39706817158913077
2,44,,,,,,,voter,0.06038159055136738
2,45,,,,,,,voter,0.17081174990424353
2,46,,,,,,,voter,0.3386064566523018
2,47,,,,,,,voter,0.28060068940625194
2,48,,,,,,,voter,0.37311621585572086
2,49,,,,,,,voter,0.1967771047738196
2,50,,,,,,,voter,0.8820048210823677
2,51,,,,,,,voter,0.6241773054582952
2,52,,,,,,,voter,0.877998894168332
2,53,,,,,,,voter,0.9339641350891916
2,54,,,,,,,voter,0.839804471108769
2,55,,,,,,,voter,0.6579109061945336
2,56,,,,,,,voter,0.852429932212535
2,57,,,,,,,voter,0.5623682524848367
2,58,,,,,,,voter,0.13153777338011485
2,59,,,,,,,voter,0.6778660934548406
2,60,,,,,,,voter,0.4795132462785304
2,61,,,,,,,voter,0.7038333022276446
2,62,,,,,,,voter,0.8490768454596049
2,63,,,,,,,voter,0.8521290399807969
2,64,,,,,,,voter,0.6539993593481648
2,65,,,,,,,voter,0.8747512626596877
2,66,,,,,,,voter,0.3430762965901084
2,67,,,,,,,voter,0.3369618225208094
2,68,,,,,,,voter,0.8803818244916454
2,69,,,,,,,voter,0.3770251792785009
2,70,,,,,,,voter,0.5971696691075996
2,71,,,,,,,voter,0.635661837711495
2,72,,,,,,,voter,0.18577319677489712
2,73,,,,,,,voter,0.045014372338202935
2,74,,,,,,,voter,0.1514114739510629
